date,time,session,block,weather,kma_temp_cur_c,kma_GHI_proxy_Wm2,load_level,load_w,pv_v,pv_i,pv_w,batt_v,batt_i,batt_w,soc_pct,bus_v
2025-09-22,12:00:00,12h,PV,Clear/Cloudy,25.6,553.2,Low,1.44,18.243,0.079,1.44,12.18,0.0,0.0,70.0,11.937
2025-09-22,12:01:00,12h,PV,Clear/Cloudy,24.3,582.9,Low,1.44,18.327,0.079,1.44,12.176,0.0,0.0,70.0,11.986
2025-09-22,12:02:00,12h,PV,Clear/Cloudy,24.9,533.4,Low,1.44,18.044,0.08,1.44,12.205,0.0,0.0,70.0,12.022
2025-09-22,12:03:00,12h,PV,Clear/Cloudy,25.0,554.8,Low,1.44,18.195,0.079,1.44,12.146,0.0,0.0,70.0,11.884
2025-09-22,12:04:00,12h,PV,Clear/Cloudy,25.4,554.2,Low,1.44,18.308,0.079,1.44,12.149,0.0,0.0,70.0,11.868
2025-09-22,12:05:00,12h,PV,Clear/Cloudy,24.7,538.4,Low,1.44,18.332,0.079,1.44,12.177,0.0,0.0,70.0,11.974
2025-09-22,12:06:00,12h,PV,Clear/Cloudy,25.2,547.4,Low,1.44,18.508,0.078,1.44,12.184,0.0,0.0,70.0,12.031
2025-09-22,12:07:00,12h,PV,Clear/Cloudy,24.8,600.7,Low,1.44,18.265,0.079,1.44,12.175,0.0,0.0,70.0,12.02
2025-09-22,12:08:00,12h,PV,Clear/Cloudy,24.4,572.5,Low,1.44,18.029,0.08,1.44,12.179,0.0,0.0,70.0,11.97
2025-09-22,12:09:00,12h,PV,Clear/Cloudy,25.6,554.8,Low,1.44,18.208,0.079,1.44,12.162,0.0,0.0,70.0,11.916
2025-09-22,12:10:00,12h,PV,Clear/Cloudy,25.6,556.8,Low,1.44,18.22,0.079,1.44,12.185,0.0,0.0,70.0,12.12
2025-09-22,12:11:00,12h,PV,Clear/Cloudy,25.3,558.6,Low,1.44,18.297,0.079,1.44,12.166,0.0,0.0,70.0,12.072
2025-09-22,12:12:00,12h,PV,Clear/Cloudy,24.9,550.7,Low,1.44,18.321,0.079,1.44,12.188,0.0,0.0,70.0,12.122
2025-09-22,12:13:00,12h,PV,Clear/Cloudy,25.2,562.3,Low,1.44,18.521,0.078,1.44,12.193,0.0,0.0,70.0,11.996
2025-09-22,12:14:00,12h,PV,Clear/Cloudy,24.8,553.1,Low,1.44,18.069,0.08,1.44,12.187,0.0,0.0,70.0,12.031
2025-09-22,12:15:00,12h,PV,Clear/Cloudy,24.7,591.0,Low,1.44,18.238,0.079,1.44,12.184,0.0,0.0,70.0,11.963
2025-09-22,12:16:00,12h,PV,Clear/Cloudy,25.4,573.8,Low,1.44,18.208,0.079,1.44,12.17,0.0,0.0,70.0,12.002
2025-09-22,12:17:00,12h,PV,Clear/Cloudy,25.7,554.7,Low,1.44,18.235,0.079,1.44,12.192,0.0,0.0,70.0,12.01
2025-09-22,12:18:00,12h,PV,Clear/Cloudy,25.2,569.7,Low,1.44,18.212,0.079,1.44,12.172,0.0,0.0,70.0,11.951
2025-09-22,12:19:00,12h,PV,Clear/Cloudy,25.0,540.9,Low,1.44,17.999,0.08,1.44,12.186,0.0,0.0,70.0,11.893
2025-09-22,12:20:00,12h,PV,Clear/Cloudy,24.7,572.4,Low,1.44,18.196,0.079,1.44,12.176,0.0,0.0,70.0,11.901
2025-09-22,12:21:00,12h,PV,Clear/Cloudy,24.6,556.9,Low,1.44,18.222,0.079,1.44,12.19,0.0,0.0,70.0,11.857
2025-09-22,12:22:00,12h,PV,Clear/Cloudy,25.4,596.8,Low,1.44,18.395,0.078,1.44,12.166,0.0,0.0,70.0,12.097
2025-09-22,12:23:00,12h,PV,Clear/Cloudy,25.1,599.7,Low,1.44,18.196,0.079,1.44,12.189,0.0,0.0,70.0,12.089
2025-09-22,12:24:00,12h,PV,Clear/Cloudy,24.5,546.3,Low,1.44,18.351,0.078,1.44,12.166,0.0,0.0,70.0,11.993
2025-09-22,12:25:00,12h,PV,Clear/Cloudy,24.9,581.7,Low,1.44,18.208,0.079,1.44,12.186,0.0,0.0,70.0,12.053
2025-09-22,12:26:00,12h,PV,Clear/Cloudy,25.1,586.9,Low,1.44,18.357,0.078,1.44,12.176,0.0,0.0,70.0,11.89
2025-09-22,12:27:00,12h,PV,Clear/Cloudy,25.4,568.0,Low,1.44,18.008,0.08,1.44,12.211,0.0,0.0,70.0,11.935
2025-09-22,12:28:00,12h,PV,Clear/Cloudy,24.2,575.2,Low,1.44,18.382,0.078,1.44,12.158,0.0,0.0,70.0,11.865
2025-09-22,12:29:00,12h,PV,Clear/Cloudy,24.4,555.3,Low,1.44,18.191,0.079,1.44,12.177,0.0,0.0,70.0,12.065
2025-09-22,12:30:00,12h,BAT,Clear/Cloudy,24.5,0.0,Low,1.44,0.0,0.0,0.0,12.162,0.118,1.44,69.05,12.047
2025-09-22,12:31:00,12h,BAT,Clear/Cloudy,25.2,0.0,Low,1.44,0.0,0.0,0.0,12.154,0.118,1.44,68.12,11.953
2025-09-22,12:32:00,12h,BAT,Clear/Cloudy,24.9,0.0,Low,1.44,0.0,0.0,0.0,12.166,0.118,1.44,67.1,12.014
2025-09-22,12:33:00,12h,BAT,Clear/Cloudy,24.9,0.0,Low,1.44,0.0,0.0,0.0,12.126,0.119,1.44,66.15,11.917
2025-09-22,12:34:00,12h,BAT,Clear/Cloudy,25.2,0.0,Low,1.44,0.0,0.0,0.0,12.124,0.119,1.44,65.23,11.996
2025-09-22,12:35:00,12h,BAT,Clear/Cloudy,24.9,0.0,Low,1.44,0.0,0.0,0.0,12.102,0.119,1.44,64.29,12.078
2025-09-22,12:36:00,12h,BAT,Clear/Cloudy,25.1,0.0,Low,1.44,0.0,0.0,0.0,12.08,0.119,1.44,63.24,12.092
2025-09-22,12:37:00,12h,BAT,Clear/Cloudy,24.8,0.0,Low,1.44,0.0,0.0,0.0,12.043,0.12,1.44,62.25,11.989
2025-09-22,12:38:00,12h,BAT,Clear/Cloudy,25.5,0.0,Low,1.44,0.0,0.0,0.0,12.04,0.12,1.44,61.27,12.059
2025-09-22,12:39:00,12h,BAT,Clear/Cloudy,25.5,0.0,Low,1.44,0.0,0.0,0.0,12.024,0.12,1.44,60.34,11.991
